alias,package_name,contract_type,granted_method,loan_amount_limit,deposit_duration,interest_rate,repayment_duration,loan_coefficient,credit_score,minimum_deposit_amount,maximum_deposit_amount,minimum_loan_amount,guarantee,receiving_channel,account_type
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,6,4,48,45,B,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,6,4,48,45,C و فاقد رتبه,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,12,4,12,320,A,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,12,4,12,320,B,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,12,4,12,320,C و فاقد رتبه,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,12,4,24,160,A,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,12,4,24,160,B,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,12,4,24,160,C و فاقد رتبه,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,12,4,36,110,A,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,12,4,36,110,B,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,12,4,36,110,C و فاقد رتبه,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,12,4,48,80,A,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,12,4,48,80,B,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,12,4,48,80,C و فاقد رتبه,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
فرابانک,فرابانک,مرابحه,واریز به حساب,2000000000,3,23,36,1000,A,nan,nan,100000000,1,غیر حضوری,nan
فرابانک,فرابانک,مرابحه,واریز به حساب,1500000000,3,23,36,1000,B,nan,nan,100000000,1,غیر حضوری,nan
فرابانک,فرابانک,مرابحه,واریز به حساب,1000000000,3,23,36,1000,C و فاقد رتبه,nan,nan,100000000,1,غیر حضوری,nan
بهان,فرابانک,مرابحه,واریز به حساب,1000000000,3,23,60,1000,A,nan,nan,100000000,0,غیر حضوری,nan
بهان,فرابانک,مرابحه,واریز به حساب,1000000000,3,23,60,1000,B,nan,nan,100000000,0,غیر حضوری,nan
گردونه,گردونه,قرض‌الحسنه,واریز به حساب,3000000000,3,4,24,1000,A,50000000,nan,500000000,1,غیر حضوری/ حضوری,nan
گردونه,گردونه,قرض‌الحسنه,واریز به حساب,3000000000,3,4,24,1000,B,50000000,nan,500000000,1,غیر حضوری/ حضوری,nan
گردونه,گردونه,قرض‌الحسنه,واریز به حساب,3000000000,3,4,24,1000,C و فاقد رتبه,50000000,nan,500000000,1,غیر حضوری/ حضوری,nan
نظام مهندسی,سازمانی,مرابحه,واریز به حساب,2000000000,nan,23,60,nan,A,nan,nan,100000000,1,غیر حضوری,nan
نظام مهندسی,سازمانی,مرابحه,واریز به حساب,2000000000,nan,23,60,nan,B,nan,nan,100000000,1,غیر حضوری,nan
نظام مهندسی,سازمانی,مرابحه,واریز به حساب,2000000000,nan,23,60,nan,C و فاقد رتبه,nan,nan,100000000,1,غیر حضوری,nan
